 , Colombo/ Colombo, Colombo/ Boralesgamauwa, Colombo/ Dehiwala – Mount Lavinia, Colombo/ Kaduwela, Colombo/ Kesbewa, Colombo/ Kolonnawa, Colombo/ Maharagama, Colombo/ Moratuwa, Colombo/ Avissawella (Seethawakapura), Colombo/Sri Jayawardenapura Kotte, Gampaha/ Gampaha, Gampaha/ Negombo, Gampaha/Katunayaka, Gampaha/Ja-Ela, Gampaha/ Wattala – Mabole, Gampaha/ Minuwangoda, Gampaha/ Peliyagoda, Kalutara/ Kalutara, Kalutara/ Beruwala, Kalutara/ Panadura, Kalutara/ Horana, Galle/ Galle, Galle/ Hikkaduwa, Galle/ Ambalangoda, Hambanthota/ Hambanthota, Hambanthota/ Tangalle, Matara/ Matara, Matara/ Weligama, Kandy/ Kandy, Kandy/ Gampola, Kandy/ Nawalapitiya, Kandy/ Kadugannawa, Kandy/ Wattegama, Matale/ Matale, Matale/ Dambulla, Nuwaraeliya/ Nuwaraeliya, Nuwaraeliya/ Hatton – Dickoya, Nuwaraeliya/ Thalawakele - Lindula, Jaffna/ Jaffna, Jaffna/ Chavakachcheri, Jaffna/ Valvettithurai, Jaffna/ Point Pedro, Vavuniya/ Vavuniya, Trincomalee/ Trincomalee, Trincomalee/ Kinniya, Kilinochchi/ Kilinochchi, Mulativu/ Mulativu, Mannar/ Mannar, Batticaloa/ Batticaloa, Batticaloa/ Kattankudy, Batticaloa/ Eravur, Anuradhapura/ Anuradhapura, Polonnaruwa/ Polonnaruwa, Badulla/ Badulla, Badulla/ Bandarawela, Badulla/ Haputale, Kurunegala/ Kurunegala, Kurunegala/ Kuliyapitiya, Puttalam/ Puttalam, Puttalam/ Chilaw, Ampara/ Ampara, Ampara/ Akkaraipattu, Ampara/ Kalmunai, Monaragala/ Monaragala, Kegalle/ Kegalle, Ratnapura/ Ratnapura, Ratnapura/ Balangoda, Ratnapura/ Embilipitiya
 Jaffna/ Jaffna,356.8,366.6,367,363.7,383.4,356.6,379.8,390.1,375.6,362.9,346.3,323.5,328.9,340.2,348.4,331.4,352.6,406.8,421.9,398.2,395.4,475,465.2,453.9,523.5,532.9,504.8,494.6,316.1,340.1,356,342.7,308.1,291.4,243.5,409,383.1,394.2,1,16,27,30.3,137.1,232.8,244.6,66.6,145.4,117.8,348.4,371.2,354,205,283.3,391.9,418.9,431.2,300.3,316,260.3,285.2,414.3,426.8,406.5,412,333.8,410.9,457.3,591.4
 Jaffna/ Chavakachcheri,346.6,356.4,356.8,353.5,373.2,346.4,369.6,379.9,366.9,352.7,336,313.3,318.7,330,338.2,321.2,342.4,396.6,411.7,388,385.2,464.8,455,443.6,514.8,522.7,494.6,484.3,307.4,331.5,347.3,323.6,299.4,282.7,234.8,400.3,374.4,381.2,16,1,26.6,25,130,217.3,238.6,58.4,101.9,117.7,341.4,361.8,343.4,187.4,275,383.5,413.6,422.9,291.9,307,222,277.5,406,418.8,396.9,403.6,325.4,402.6,452,583.1
 Jaffna/ Valvettithurai,374.4,384.1,384.6,381.3,401,374.2,397.3,407.7,378.2,380.5,366.2,341.4,346.5,357.8,366,348.9,370.2,424.4,439.5,415.8,413,492.6,482.8,471.4,526.1,550.5,522.3,512.1,318.7,342.8,358.6,345.3,310.7,294,246.1,411.6,385.7,396.8,27,26.6,1,9.6,141.3,235.4,249.9,69.7,113.2,143.6,364.5,373.1,354.7,198.7,286.3,394.8,424.9,434.2,303.2,318.3,248,326.6,417.3,430.1,408.2,414.9,336.7,413.9,463.3,594.4
 Jaffna/ Point Pedro,389.4,399.1,399.6,381.9,401.5,389.1,397.9,408.3,370.9,395.5,358.9,335,340.4,351.7,359.9,342.8,364.1,425,440.1,416.3,413.6,493.2,483.3,472,518.8,532.5,522.9,512.7,311.4,335.5,351.3,327.6,303.4,286.7,238.8,404.3,378.4,389.5,30.3,25,9.6,1,134.1,228.2,242.7,62.5,106,135.6,357.3,365.9,347.5,191.5,279.1,387.6,417.7,427,296,311.1,240,319.4,410.1,422.9,401,407.7,329.5,406.6,456,587.2
 Vavuniya/ Vavuniya,255.4,265.2,265.6,247.9,267.6,255.2,264,274.3,237,261.5,224.9,223.7,223.5,231.2,247,214.9,251.2,291,306.1,282.4,266.9,359.2,349.4,338.1,384.9,398.5,389,378.8,177.5,201.5,217.4,193.7,169.5,152.8,104.9,270.3,244.4,255.6,137.1,130,141.3,134.1,1,94.6,109.1,79.1,75,79.1,223.7,232.3,214,57.4,145,253.5,283.6,292.9,161.9,177,130.3,185.3,276,289.3,267.4,273.7,195.5,272.6,322,453.1
 Trincomalee/ Trincomalee,261.6,268,271.5,249.6,269.2,261.3,265.6,276,239.4,261.5,229.5,233.5,233.4,241,251.6,224.7,247.1,292.7,307.8,284,281.3,360.8,351,339.7,360.1,390.5,390.6,380.4,178.1,202.2,218,194.3,170.1,153.5,105.5,271,245.1,256.2,232.8,217.3,235.4,228.2,94.6,1,16.5,173.2,116.7,173.9,131.2,139.7,121.4,107.5,107.4,249,279,288.3,162.6,201.7,180.7,235.7,217.1,196.8,174.9,250.7,196.2,274.7,324.1,357.2
 Trincomalee/ Kinniya,257,263.4,267,245,264.6,256.7,261,271.4,234.9,256.9,224.9,229,228.8,236.5,247,220.1,242.5,288.1,303.2,279.5,276.7,356.3,346.5,335.1,347.2,377.5,386,375.8,173.5,197.6,213.5,189.7,165.6,148.9,100.9,266.4,241.9,253.1,244.6,238.6,249.9,242.7,109.1,16.5,1,184.9,132.1,185.6,118.7,127.2,108.9,119.3,103.1,244.6,274.7,284,158.3,197.3,192.5,230.6,204.6,184.3,162.4,238.3,191.8,270.3,319.7,344.7
 Kilinochchi/ Kilinochchi,334.5,344.2,344.6,326.9,346.6,334.2,343,353.4,316,339.9,303.9,302.7,302.5,310.2,326,293.9,330.2,370,385.1,361.4,358.7,438.2,428.4,417.1,463.9,477.6,468,457.8,256.5,280.5,296.4,272.7,248.5,231.8,183.9,349.3,323.5,334.6,66.6,58.4,69.7,62.5,79.1,173.2,184.9,1,62.8,124.3,302.3,310.8,292.5,136.4,224,332.6,362.7,371.9,241,256,209.3,264.3,355,367.9,346,352.7,274.5,351.6,401,532.2
 Mulativu/ Mulativu,330.4,340.1,340.5,322.8,342.5,330.1,338.9,349.3,311.9,335.8,299.8,298.6,298.4,306.1,321.9,289.8,326.1,365.9,381,357.3,354.6,434.1,424.3,413,459.8,490.1,463.9,453.7,252.4,276.4,292.3,268.6,244.4,227.7,179.8,345.2,319.3,330.5,145.4,101.9,113.2,106,75,116.7,132.1,62.8,1,148.3,254.2,262.8,244.5,132.3,219.9,328.5,358.5,367.8,236.9,251.9,205.2,260.2,350.9,319.8,297.9,348.6,270.4,347.5,396.9,528
 Mannar/ Mannar,256,265.7,266.2,262.9,282.5,255.8,278.9,289.3,282.2,262.1,245.4,222.7,228.1,239.4,247.6,230.5,251.8,306,321.1,297.4,294.6,374.2,364.4,353,445.7,432,403.9,393.7,238.2,262.3,278.2,254.5,230.3,213.6,165.6,331.1,305.2,316.4,117.8,117.7,143.6,135.6,79.1,173.9,185.6,124.3,148.3,1,300.49,309.09,290.1,114.37,210.44,320.15,270,353.9,222.8,242,122.6,178,338.1,365,341.5,334.5,256.3,333.4,382.8,481.6
